area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,lecture,office,multipurpose,laboratory,domitory,parking,usage
12184.46,0.3839,10,0.6923,27,0.2857,1,1,0,0,0,0,0,9753
12184.46,0.3839,10,0.6923,27,0.2857,1,1,0,0,0,0,0,9473
12184.46,0.3839,10,0.6923,26,0.1429,1,1,0,0,0,0,0,9478
12184.46,0.3839,10,0.6923,27,0.2857,1,1,0,0,0,0,0,9735
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,10000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,7000
1488.95,0.0454,2,0.0769,28,0.4286,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,27,0.2857,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,28,0.4286,1,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,29,0.5714,0,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,0,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,30,0.7143,1,1,0,0,0,0,0,10000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,27,0.2857,1,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,27,0.2857,1,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,28,0.4286,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,0,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,28,0.4286,1,1,0,0,0,0,0,8000
1488.95,0.0454,2,0.0769,28,0.4286,1,1,0,0,0,0,0,10000
1488.95,0.0454,2,0.0769,26,0.1429,1,1,0,0,0,0,0,7000
1488.95,0.0454,2,0.0769,27,0.2857,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,27,0.2857,1,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,10000
1488.95,0.0454,2,0.0769,30,0.7143,0,1,0,0,0,0,0,9000
1488.95,0.0454,2,0.0769,29,0.5714,0,1,0,0,0,0,0,6000
1488.95,0.0454,2,0.0769,29,0.5714,1,1,0,0,0,0,0,7000
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3126
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,4116
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3254
695.77,0.0203,2,0.0769,28,0.4286,1,1,0,0,0,0,0,3743
695.77,0.0203,2,0.0769,27,0.2857,1,1,0,0,0,0,0,3835
695.77,0.0203,2,0.0769,28,0.4286,1,1,0,0,0,0,0,3409
695.77,0.0203,2,0.0769,31,0.8571,1,1,0,0,0,0,0,3419
695.77,0.0203,2,0.0769,32,1.0000,1,1,0,0,0,0,0,3360
695.77,0.0203,2,0.0769,32,1.0000,1,1,0,0,0,0,0,3368
695.77,0.0203,2,0.0769,29,0.5714,0,1,0,0,0,0,0,3886
695.77,0.0203,2,0.0769,29,0.5714,0,1,0,0,0,0,0,3810
695.77,0.0203,2,0.0769,30,0.7143,1,1,0,0,0,0,0,3745
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3387
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3871
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3977
695.77,0.0203,2,0.0769,27,0.2857,1,1,0,0,0,0,0,3844
695.77,0.0203,2,0.0769,27,0.2857,1,1,0,0,0,0,0,3601
695.77,0.0203,2,0.0769,28,0.4286,1,1,0,0,0,0,0,3215
695.77,0.0203,2,0.0769,30,0.7143,1,1,0,0,0,0,0,3906
695.77,0.0203,2,0.0769,31,0.8571,1,1,0,0,0,0,0,3668
695.77,0.0203,2,0.0769,30,0.7143,1,1,0,0,0,0,0,3988
695.77,0.0203,2,0.0769,29,0.5714,0,1,0,0,0,0,0,3613
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,4022
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3751
695.77,0.0203,2,0.0769,28,0.4286,1,1,0,0,0,0,0,3421
695.77,0.0203,2,0.0769,28,0.4286,1,1,0,0,0,0,0,3710
695.77,0.0203,2,0.0769,26,0.1429,1,1,0,0,0,0,0,3671
695.77,0.0203,2,0.0769,27,0.2857,1,1,0,0,0,0,0,3762
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,4521
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,3696
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,4247
695.77,0.0203,2,0.0769,30,0.7143,0,1,0,0,0,0,0,5393
695.77,0.0203,2,0.0769,29,0.5714,0,1,0,0,0,0,0,4675
695.77,0.0203,2,0.0769,29,0.5714,1,1,0,0,0,0,0,4594
3525.56,0.1099,5,0.3077,29,0.5714,1,1,0,0,0,0,0,2000
3525.56,0.1099,5,0.3077,29,0.5714,1,1,0,0,0,0,0,9000
3525.56,0.1099,5,0.3077,29,0.5714,1,1,0,0,0,0,0,3000
3525.56,0.1099,5,0.3077,28,0.4286,1,1,0,0,0,0,0,4000
3525.56,0.1099,5,0.3077,27,0.2857,1,1,0,0,0,0,0,5000
3525.56,0.1099,5,0.3077,28,0.4286,1,1,0,0,0,0,0,4000
3525.56,0.1099,5,0.3077,32,1.0000,1,1,0,0,0,0,0,9000
3525.56,0.1099,5,0.3077,32,1.0000,1,1,0,0,0,0,0,8000
3525.56,0.1099,5,0.3077,29,0.5714,0,1,0,0,0,0,0,8000
3525.56,0.1099,5,0.3077,29,0.5714,0,1,0,0,0,0,0,6000
3525.56,0.1099,5,0.3077,30,0.7143,1,1,0,0,0,0,0,10000
3525.56,0.1099,5,0.3077,29,0.5714,1,1,0,0,0,0,0,9000
