month,year,usage,usage_normal,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester
7,2556,12000,0.0500,2479.70,0.1046,5,0.0541,30,0.7143,1
8,2556,12000,0.0500,2479.70,0.1046,5,0.0541,30,0.7143,1
9,2556,12000,0.0500,2479.70,0.1046,5,0.0541,29,0.5714,1
10,2556,11000,0.0458,2479.70,0.1046,5,0.0541,29,0.5714,0
11,2556,13000,0.0542,2479.70,0.1046,5,0.0541,30,0.7143,1
12,2556,8000,0.0333,2479.70,0.1046,5,0.0541,25,0.0000,1
1,2557,8000,0.0333,2479.70,0.1046,5,0.0541,25,0.0000,1
2,2557,9000,0.0375,2479.70,0.1046,5,0.0541,28,0.4286,1
3,2557,9000,0.0375,2479.70,0.1046,5,0.0541,30,0.7143,1
4,2557,10000,0.0417,2479.70,0.1046,5,0.0541,31,0.8571,1
5,2557,12000,0.0500,2479.70,0.1046,5,0.0541,31,0.8571,1
6,2557,13000,0.0542,2479.70,0.1046,5,0.0541,30,0.7143,0
7,2557,12000,0.0500,2479.70,0.1046,5,0.0541,30,0.7143,0
8,2557,11000,0.0458,2479.70,0.1046,5,0.0541,29,0.5714,1
9,2557,15000,0.0625,2479.70,0.1046,5,0.0541,29,0.5714,1
10,2557,13000,0.0542,2479.70,0.1046,5,0.0541,29,0.5714,1
11,2557,13000,0.0542,2479.70,0.1046,5,0.0541,29,0.5714,1
12,2557,13000,0.0542,2479.70,0.1046,5,0.0541,27,0.2857,1
1,2558,9000,0.0375,2479.70,0.1046,5,0.0541,26,0.1429,1
2,2558,11000,0.0458,2479.70,0.1046,5,0.0541,28,0.4286,1
3,2558,14000,0.0583,2479.70,0.1046,5,0.0541,30,0.7143,1
4,2558,11000,0.0458,2479.70,0.1046,5,0.0541,30,0.7143,1
5,2558,14000,0.0583,2479.70,0.1046,5,0.0541,31,0.8571,1
6,2558,15000,0.0625,2479.70,0.1046,5,0.0541,30,0.7143,0
7,2558,13000,0.0542,2479.70,0.1046,5,0.0541,30,0.7143,0
8,2558,14000,0.0583,2479.70,0.1046,5,0.0541,30,0.7143,1
10,2558,13000,0.0542,2479.70,0.1046,5,0.0541,29,0.5714,1
11,2558,14000,0.0583,2479.70,0.1046,5,0.0541,29,0.5714,1
12,2558,13000,0.0542,2479.70,0.1046,5,0.0541,28,0.4286,1
1,2559,13000,0.0542,2479.70,0.1046,5,0.0541,27,0.2857,1
2,2559,13000,0.0542,2479.70,0.1046,5,0.0541,28,0.4286,1
3,2559,13000,0.0542,2479.70,0.1046,5,0.0541,31,0.8571,1
4,2559,15000,0.0625,2479.70,0.1046,5,0.0541,32,1.0000,1
5,2559,16000,0.0667,2479.70,0.1046,5,0.0541,32,1.0000,1
6,2559,14000,0.0583,2479.70,0.1046,5,0.0541,29,0.5714,0
7,2559,13000,0.0542,2479.70,0.1046,5,0.0541,29,0.5714,0
8,2559,15000,0.0625,2479.70,0.1046,5,0.0541,30,0.7143,1
9,2559,13000,0.0542,2479.70,0.1046,5,0.0541,29,0.5714,1
10,2559,14000,0.0583,2479.70,0.1046,5,0.0541,29,0.5714,1
11,2559,14000,0.0583,2479.70,0.1046,5,0.0541,29,0.5714,1
12,2559,10000,0.0417,2479.70,0.1046,5,0.0541,27,0.2857,1
1,2560,7000,0.0292,2479.70,0.1046,5,0.0541,27,0.2857,1
2,2560,7000,0.0292,2479.70,0.1046,5,0.0541,28,0.4286,1
3,2560,12000,0.0500,2479.70,0.1046,5,0.0541,30,0.7143,1
4,2560,11000,0.0458,2479.70,0.1046,5,0.0541,31,0.8571,1
5,2560,13000,0.0542,2479.70,0.1046,5,0.0541,30,0.7143,1
6,2560,7000,0.0292,2479.70,0.1046,5,0.0541,29,0.5714,0
7,2560,4000,0.0167,2479.70,0.1046,5,0.0541,29,0.5714,0
8,2560,10000,0.0417,2479.70,0.1046,5,0.0541,29,0.5714,1
9,2560,12000,0.0500,2479.70,0.1046,5,0.0541,29,0.5714,1
10,2560,11000,0.0458,2479.70,0.1046,5,0.0541,28,0.4286,1
11,2560,11000,0.0458,2479.70,0.1046,5,0.0541,28,0.4286,1
12,2560,10000,0.0417,2479.70,0.1046,5,0.0541,26,0.1429,1
1,2561,8000,0.0333,2479.70,0.1046,5,0.0541,27,0.2857,1
2,2561,6000,0.0250,2479.70,0.1046,5,0.0541,27,0.2857,1
3,2561,6000,0.0250,2479.70,0.1046,5,0.0541,29,0.5714,1
4,2561,6000,0.0250,2479.70,0.1046,5,0.0541,29,0.5714,1
1,2556,6640,0.0277,642.89,0.0254,2,0.0135,28,0.4286,1
2,2556,7120,0.0297,642.89,0.0254,2,0.0135,30,0.7143,1
3,2556,8240,0.0343,642.89,0.0254,2,0.0135,31,0.8571,0
4,2556,5760,0.0240,642.89,0.0254,2,0.0135,32,1.0000,0
5,2556,4960,0.0207,642.89,0.0254,2,0.0135,32,1.0000,0
6,2556,6080,0.0253,642.89,0.0254,2,0.0135,30,0.7143,1
7,2556,7360,0.0307,642.89,0.0254,2,0.0135,30,0.7143,1
8,2556,9760,0.0407,642.89,0.0254,2,0.0135,30,0.7143,1
9,2556,4835,0.0201,642.89,0.0254,2,0.0135,29,0.5714,1
10,2556,5683,0.0237,642.89,0.0254,2,0.0135,29,0.5714,0
11,2556,5093,0.0212,642.89,0.0254,2,0.0135,30,0.7143,1
12,2556,3824,0.0159,642.89,0.0254,2,0.0135,25,0.0000,1
1,2557,4334,0.0181,642.89,0.0254,2,0.0135,25,0.0000,1
2,2557,4581,0.0191,642.89,0.0254,2,0.0135,28,0.4286,1
3,2557,6652,0.0277,642.89,0.0254,2,0.0135,30,0.7143,1
4,2557,5317,0.0221,642.89,0.0254,2,0.0135,31,0.8571,1
5,2557,6516,0.0271,642.89,0.0254,2,0.0135,31,0.8571,1
6,2557,5027,0.0209,642.89,0.0254,2,0.0135,30,0.7143,0
7,2557,6798,0.0283,642.89,0.0254,2,0.0135,30,0.7143,0
8,2557,6539,0.0272,642.89,0.0254,2,0.0135,29,0.5714,1
9,2557,4783,0.0199,642.89,0.0254,2,0.0135,29,0.5714,1
10,2557,4836,0.0201,642.89,0.0254,2,0.0135,29,0.5714,1
11,2557,6611,0.0275,642.89,0.0254,2,0.0135,29,0.5714,1
12,2557,6147,0.0256,642.89,0.0254,2,0.0135,27,0.2857,1
1,2558,3408,0.0142,642.89,0.0254,2,0.0135,26,0.1429,1
2,2558,3866,0.0161,642.89,0.0254,2,0.0135,28,0.4286,1
3,2558,4146,0.0173,642.89,0.0254,2,0.0135,30,0.7143,1
4,2558,3922,0.0163,642.89,0.0254,2,0.0135,30,0.7143,1
5,2558,5989,0.0249,642.89,0.0254,2,0.0135,31,0.8571,1
6,2558,5475,0.0228,642.89,0.0254,2,0.0135,30,0.7143,0
7,2558,5350,0.0223,642.89,0.0254,2,0.0135,30,0.7143,0
8,2558,5140,0.0214,642.89,0.0254,2,0.0135,30,0.7143,1
9,2558,4525,0.0188,642.89,0.0254,2,0.0135,29,0.5714,1
