month,year,usage,area,floor,age,minTemp,maxTemp,avgTemp,semester
11,2559,44000,5090.53,5,15,27,31,29,1
12,2559,39000,5090.53,5,15,24,30,27,1
1,2560,37000,5090.53,5,15,26,29,27,1
2,2560,38000,5090.53,5,15,24,31,28,1
3,2560,47000,5090.53,5,15,27,32,30,1
4,2560,40000,5090.53,5,15,28,33,31,1
5,2560,42000,5090.53,5,15,27,32,30,1
6,2560,42000,5090.53,5,15,28,31,29,0
7,2560,39000,5090.53,5,15,27,31,29,0
8,2560,42000,5090.53,5,15,27,31,29,1
9,2560,43000,5090.53,5,15,28,31,29,1
10,2560,35000,5090.53,5,15,26,31,28,1
11,2560,38000,5090.53,5,15,25,30,28,1
12,2560,37000,5090.53,5,15,20,29,26,1
1,2561,37065,5090.53,5,15,22,30,27,1
2,2561,30696,5090.53,5,15,23,30,27,1
3,2561,44000,5090.53,5,15,24,31,29,1
4,2561,37000,5090.53,5,15,24,32,29,1
1,2556,3600,5362.97,8,15,26,30,28,1
2,2556,4000,5362.97,8,15,28,32,30,1
3,2556,4800,5362.97,8,15,24,34,31,0
4,2556,4400,5362.97,8,15,29,34,32,0
5,2556,4400,5362.97,8,15,30,34,32,0
6,2556,4800,5362.97,8,15,28,32,30,1
7,2556,4800,5362.97,8,15,28,32,30,1
8,2556,5200,5362.97,8,15,28,31,30,1
9,2556,3200,5362.97,8,15,24,32,29,1
10,2556,16000,5362.97,8,15,26,31,29,0
11,2556,2000,5362.97,8,15,26,31,30,1
12,2556,2000,5362.97,8,15,21,30,25,1
1,2557,1600,5362.97,8,15,21,28,25,1
2,2557,1600,5362.97,8,15,24,29,28,1
3,2557,15000,5362.97,8,15,27,32,30,1
4,2557,14000,5362.97,8,15,29,33,31,1
5,2557,9000,5362.97,8,15,29,33,31,1
6,2557,4000,5362.97,8,15,28,32,30,0
7,2557,4000,5362.97,8,15,27,32,30,0
8,2557,5000,5362.97,8,15,27,31,29,1
9,2557,5000,5362.97,8,15,28,31,29,1
10,2557,4000,5362.97,8,15,27,29,29,1
11,2557,5000,5362.97,8,15,26,31,29,1
12,2557,4000,5362.97,8,15,24,29,27,1
1,2558,5000,5362.97,8,15,23,29,26,1
2,2558,4000,5362.97,8,15,26,31,28,1
3,2558,4000,5362.97,8,15,27,31,30,1
