area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,lecture,office,multipurpose,laboratory,domitory,parking,usage
4028.20,0.1935,3,0.1429,29,0.5714,1,1,0,0,0,0,0,30993
4028.20,0.1935,3,0.1429,29,0.5714,1,1,0,0,0,0,0,30099
4028.20,0.1935,3,0.1429,31,0.8571,1,1,0,0,0,0,0,33907
4028.20,0.1935,3,0.1429,32,1.0000,1,1,0,0,0,0,0,33548
4028.20,0.1935,3,0.1429,32,1.0000,1,1,0,0,0,0,0,34740
4028.20,0.1935,3,0.1429,29,0.5714,1,1,0,0,0,0,0,34749
4028.20,0.1935,3,0.1429,30,0.7143,1,1,0,0,0,0,0,32267
4028.20,0.1935,3,0.1429,31,0.8571,1,1,0,0,0,0,0,32351
4028.20,0.1935,3,0.1429,30,0.7143,1,1,0,0,0,0,0,33710
4028.20,0.1935,3,0.1429,29,0.5714,1,1,0,0,0,0,0,33487
1949.16,0.0785,4,0.2143,25,0.0000,1,1,0,0,0,0,0,63000
1949.16,0.0785,4,0.2143,31,0.8571,1,1,0,0,0,0,0,70000
1949.16,0.0785,4,0.2143,31,0.8571,1,1,0,0,0,0,0,65000
1949.16,0.0785,4,0.2143,30,0.7143,0,1,0,0,0,0,0,50000
1949.16,0.0785,4,0.2143,30,0.7143,0,1,0,0,0,0,0,47000
1949.16,0.0785,4,0.2143,29,0.5714,1,1,0,0,0,0,0,47000
1949.16,0.0785,4,0.2143,26,0.1429,1,1,0,0,0,0,0,51000
1949.16,0.0785,4,0.2143,30,0.7143,0,1,0,0,0,0,0,63000
1949.16,0.0785,4,0.2143,30,0.7143,1,1,0,0,0,0,0,61000
1949.16,0.0785,4,0.2143,27,0.2857,1,1,0,0,0,0,0,56000
1949.16,0.0785,4,0.2143,27,0.2857,1,1,0,0,0,0,0,58000
1949.16,0.0785,4,0.2143,27,0.2857,1,1,0,0,0,0,0,69000
6956.23,0.3556,10,0.6429,26,0.1429,1,1,0,0,0,0,0,34000
6956.23,0.3556,10,0.6429,28,0.4286,1,1,0,0,0,0,0,38000
6956.23,0.3556,10,0.6429,30,0.7143,1,1,0,0,0,0,0,42000
6956.23,0.3556,10,0.6429,30,0.7143,1,1,0,0,0,0,0,38000
6956.23,0.3556,10,0.6429,30,0.7143,1,1,0,0,0,0,0,50000
6956.23,0.3556,10,0.6429,29,0.5714,1,1,0,0,0,0,0,33000
6956.23,0.3556,10,0.6429,29,0.5714,1,1,0,0,0,0,0,32000
6956.23,0.3556,10,0.6429,28,0.4286,1,1,0,0,0,0,0,45000
6956.23,0.3556,10,0.6429,31,0.8571,1,1,0,0,0,0,0,39000
6956.23,0.3556,10,0.6429,32,1.0000,1,1,0,0,0,0,0,49000
6956.23,0.3556,10,0.6429,29,0.5714,0,1,0,0,0,0,0,32000
6956.23,0.3556,10,0.6429,30,0.7143,1,1,0,0,0,0,0,44000
6956.23,0.3556,10,0.6429,29,0.5714,1,1,0,0,0,0,0,32000
6956.23,0.3556,10,0.6429,29,0.5714,1,1,0,0,0,0,0,35000
6956.23,0.3556,10,0.6429,28,0.4286,1,1,0,0,0,0,0,40000
6956.23,0.3556,10,0.6429,30,0.7143,1,1,0,0,0,0,0,35000
6956.23,0.3556,10,0.6429,31,0.8571,1,1,0,0,0,0,0,41000
6956.23,0.3556,10,0.6429,29,0.5714,1,1,0,0,0,0,0,49000
6956.23,0.3556,10,0.6429,29,0.5714,1,1,0,0,0,0,0,39000
3389.75,0.1582,5,0.2857,26,0.1429,1,1,0,0,0,0,0,31800
3389.75,0.1582,5,0.2857,28,0.4286,1,1,0,0,0,0,0,36600
3389.75,0.1582,5,0.2857,30,0.7143,1,1,0,0,0,0,0,39600
3389.75,0.1582,5,0.2857,30,0.7143,1,1,0,0,0,0,0,39000
3389.75,0.1582,5,0.2857,31,0.8571,1,1,0,0,0,0,0,40800
3389.75,0.1582,5,0.2857,30,0.7143,0,1,0,0,0,0,0,35400
3389.75,0.1582,5,0.2857,30,0.7143,0,1,0,0,0,0,0,37800
3389.75,0.1582,5,0.2857,30,0.7143,1,1,0,0,0,0,0,46200
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,43800
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,35400
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,38400
3389.75,0.1582,5,0.2857,28,0.4286,1,1,0,0,0,0,0,42000
3389.75,0.1582,5,0.2857,31,0.8571,1,1,0,0,0,0,0,42000
3389.75,0.1582,5,0.2857,32,1.0000,1,1,0,0,0,0,0,46800
3389.75,0.1582,5,0.2857,32,1.0000,1,1,0,0,0,0,0,31800
3389.75,0.1582,5,0.2857,29,0.5714,0,1,0,0,0,0,0,40200
3389.75,0.1582,5,0.2857,30,0.7143,1,1,0,0,0,0,0,49200
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,40200
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,42600
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,33600
3389.75,0.1582,5,0.2857,27,0.2857,1,1,0,0,0,0,0,33600
3389.75,0.1582,5,0.2857,27,0.2857,1,1,0,0,0,0,0,31800
3389.75,0.1582,5,0.2857,28,0.4286,1,1,0,0,0,0,0,45000
3389.75,0.1582,5,0.2857,30,0.7143,1,1,0,0,0,0,0,46200
3389.75,0.1582,5,0.2857,31,0.8571,1,1,0,0,0,0,0,51600
3389.75,0.1582,5,0.2857,30,0.7143,1,1,0,0,0,0,0,38400
3389.75,0.1582,5,0.2857,29,0.5714,0,1,0,0,0,0,0,42000
3389.75,0.1582,5,0.2857,29,0.5714,0,1,0,0,0,0,0,36600
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,54600
3389.75,0.1582,5,0.2857,29,0.5714,1,1,0,0,0,0,0,47400
3389.75,0.1582,5,0.2857,28,0.4286,1,1,0,0,0,0,0,41400
9246.82,0.4824,7,0.4286,26,0.1429,1,1,0,0,0,0,0,68000
9246.82,0.4824,7,0.4286,31,0.8571,1,1,0,0,0,0,0,68000
9246.82,0.4824,7,0.4286,30,0.7143,0,1,0,0,0,0,0,62000
9246.82,0.4824,7,0.4286,30,0.7143,0,1,0,0,0,0,0,58000
9246.82,0.4824,7,0.4286,28,0.4286,1,1,0,0,0,0,0,52000
9246.82,0.4824,7,0.4286,27,0.2857,1,1,0,0,0,0,0,62000
9246.82,0.4824,7,0.4286,32,1.0000,1,1,0,0,0,0,0,56000
9246.82,0.4824,7,0.4286,29,0.5714,0,1,0,0,0,0,0,56000
9246.82,0.4824,7,0.4286,29,0.5714,1,1,0,0,0,0,0,70000
9246.82,0.4824,7,0.4286,27,0.2857,1,1,0,0,0,0,0,60000
9246.82,0.4824,7,0.4286,27,0.2857,1,1,0,0,0,0,0,60000
9246.82,0.4824,7,0.4286,30,0.7143,1,1,0,0,0,0,0,58000
9246.82,0.4824,7,0.4286,29,0.5714,0,1,0,0,0,0,0,64000
9246.82,0.4824,7,0.4286,29,0.5714,0,1,0,0,0,0,0,68000
9246.82,0.4824,7,0.4286,28,0.4286,1,1,0,0,0,0,0,48000
9246.82,0.4824,7,0.4286,26,0.1429,1,1,0,0,0,0,0,54000
6261.53,0.3171,10,0.6429,28,0.4286,1,1,0,0,0,0,0,32000
6261.53,0.3171,10,0.6429,30,0.7143,1,1,0,0,0,0,0,35000
6261.53,0.3171,10,0.6429,30,0.7143,1,1,0,0,0,0,0,39000
6261.53,0.3171,10,0.6429,29,0.5714,1,1,0,0,0,0,0,35000
6261.53,0.3171,10,0.6429,29,0.5714,1,1,0,0,0,0,0,35000
6261.53,0.3171,10,0.6429,28,0.4286,1,1,0,0,0,0,0,36000
6261.53,0.3171,10,0.6429,31,0.8571,1,1,0,0,0,0,0,34000
6261.53,0.3171,10,0.6429,32,1.0000,1,1,0,0,0,0,0,45000
6261.53,0.3171,10,0.6429,30,0.7143,1,1,0,0,0,0,0,41000
6261.53,0.3171,10,0.6429,29,0.5714,1,1,0,0,0,0,0,32000
6261.53,0.3171,10,0.6429,29,0.5714,1,1,0,0,0,0,0,33000
6261.53,0.3171,10,0.6429,28,0.4286,1,1,0,0,0,0,0,35000
6261.53,0.3171,10,0.6429,30,0.7143,1,1,0,0,0,0,0,33000
6261.53,0.3171,10,0.6429,31,0.8571,1,1,0,0,0,0,0,37000
6261.53,0.3171,10,0.6429,29,0.5714,1,1,0,0,0,0,0,41000
6261.53,0.3171,10,0.6429,29,0.5714,1,1,0,0,0,0,0,33000
12388.55,0.6562,10,0.6429,30,0.7143,1,1,0,0,0,0,0,64000
12388.55,0.6562,10,0.6429,29,0.5714,0,1,0,0,0,0,0,68000
12388.55,0.6562,10,0.6429,27,0.2857,1,1,0,0,0,0,0,64000
12388.55,0.6562,10,0.6429,29,0.5714,0,1,0,0,0,0,0,68000
12388.55,0.6562,10,0.6429,28,0.4286,1,1,0,0,0,0,0,68000
10354.32,0.5436,10,0.6429,26,0.1429,1,1,0,0,0,0,0,50000
10354.32,0.5436,10,0.6429,28,0.4286,1,1,0,0,0,0,0,58000
10354.32,0.5436,10,0.6429,30,0.7143,1,1,0,0,0,0,0,60000
10354.32,0.5436,10,0.6429,30,0.7143,1,1,0,0,0,0,0,54000
10354.32,0.5436,10,0.6429,30,0.7143,0,1,0,0,0,0,0,48000
10354.32,0.5436,10,0.6429,30,0.7143,0,1,0,0,0,0,0,54000
