month,year,area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
,,4028.20,0.1124,3,0.1818,28,0.4286,1,20594
,,4028.20,0.1124,3,0.1818,30,0.7143,1,19972
,,4028.20,0.1124,3,0.1818,31,0.8571,0,17621
,,4028.20,0.1124,3,0.1818,32,1.0000,0,16953
,,4028.20,0.1124,3,0.1818,32,1.0000,0,17209
,,4028.20,0.1124,3,0.1818,30,0.7143,1,15010
,,4028.20,0.1124,3,0.1818,30,0.7143,1,25250
,,4028.20,0.1124,3,0.1818,30,0.7143,1,24699
,,4028.20,0.1124,3,0.1818,29,0.5714,1,25139
,,4028.20,0.1124,3,0.1818,29,0.5714,0,16444
,,4028.20,0.1124,3,0.1818,30,0.7143,1,19730
,,4028.20,0.1124,3,0.1818,25,0.0000,1,19237
,,4028.20,0.1124,3,0.1818,25,0.0000,1,14211
,,4028.20,0.1124,3,0.1818,28,0.4286,1,18517
,,4028.20,0.1124,3,0.1818,30,0.7143,1,20750
,,4028.20,0.1124,3,0.1818,31,0.8571,1,16944
,,4028.20,0.1124,3,0.1818,31,0.8571,1,18060
,,4028.20,0.1124,3,0.1818,30,0.7143,0,17386
,,4028.20,0.1124,3,0.1818,30,0.7143,0,14862
,,4028.20,0.1124,3,0.1818,29,0.5714,1,11753
,,4028.20,0.1124,3,0.1818,29,0.5714,1,27162
,,4028.20,0.1124,3,0.1818,29,0.5714,1,27577
,,4028.20,0.1124,3,0.1818,29,0.5714,1,27095
,,4028.20,0.1124,3,0.1818,27,0.2857,1,21109
,,4028.20,0.1124,3,0.1818,26,0.1429,1,13846
,,4028.20,0.1124,3,0.1818,28,0.4286,1,22856
,,4028.20,0.1124,3,0.1818,30,0.7143,1,25554
,,4028.20,0.1124,3,0.1818,30,0.7143,1,26472
,,4028.20,0.1124,3,0.1818,31,0.8571,1,25905
,,4028.20,0.1124,3,0.1818,30,0.7143,0,14882
,,4028.20,0.1124,3,0.1818,30,0.7143,0,20484
,,4028.20,0.1124,3,0.1818,30,0.7143,1,13374
,,4028.20,0.1124,3,0.1818,29,0.5714,1,26592
,,4028.20,0.1124,3,0.1818,28,0.4286,1,26811
,,4028.20,0.1124,3,0.1818,27,0.2857,1,13947
,,4028.20,0.1124,3,0.1818,28,0.4286,1,23362
,,4028.20,0.1124,3,0.1818,29,0.5714,0,18878
,,4028.20,0.1124,3,0.1818,29,0.5714,0,23878
,,4028.20,0.1124,3,0.1818,30,0.7143,1,23152
,,4028.20,0.1124,3,0.1818,29,0.5714,1,27343
,,4028.20,0.1124,3,0.1818,29,0.5714,1,28489
,,4028.20,0.1124,3,0.1818,27,0.2857,1,26327
,,4028.20,0.1124,3,0.1818,27,0.2857,1,14102
,,4028.20,0.1124,3,0.1818,28,0.4286,1,24763
,,4028.20,0.1124,3,0.1818,29,0.5714,0,21359
,,4028.20,0.1124,3,0.1818,29,0.5714,0,28568
,,4028.20,0.1124,3,0.1818,29,0.5714,1,26975
,,4028.20,0.1124,3,0.1818,28,0.4286,1,27767
,,4028.20,0.1124,3,0.1818,28,0.4286,1,24504
,,4028.20,0.1124,3,0.1818,26,0.1429,1,21364
,,4028.20,0.1124,3,0.1818,27,0.2857,1,17497
,,4028.20,0.1124,3,0.1818,27,0.2857,1,24259
,,4028.20,0.1124,3,0.1818,29,0.5714,1,28469
,,4028.20,0.1124,3,0.1818,29,0.5714,1,26340
,,6956.23,0.2065,10,0.8182,31,0.8571,1,27000
,,6956.23,0.2065,10,0.8182,30,0.7143,0,29000
,,6956.23,0.2065,10,0.8182,30,0.7143,0,22000
,,6956.23,0.2065,10,0.8182,29,0.5714,1,24700
,,6956.23,0.2065,10,0.8182,28,0.4286,1,18000
,,6956.23,0.2065,10,0.8182,27,0.2857,1,28000
,,6956.23,0.2065,10,0.8182,32,1.0000,1,21000
,,6956.23,0.2065,10,0.8182,29,0.5714,0,30000
,,6956.23,0.2065,10,0.8182,29,0.5714,1,29000
,,6956.23,0.2065,10,0.8182,27,0.2857,1,20000
