area,area_normal,floor,floor_normal,avgTemp,avgTemp_normal,semester,usage
5762.33,0.3302,7,0.3846,28,0.4286,1,30000
5762.33,0.3302,7,0.3846,30,0.7143,1,28000
5762.33,0.3302,7,0.3846,31,0.8571,0,36000
5762.33,0.3302,7,0.3846,32,1.0000,0,30000
5762.33,0.3302,7,0.3846,32,1.0000,0,39000
5762.33,0.3302,7,0.3846,30,0.7143,1,31000
5762.33,0.3302,7,0.3846,30,0.7143,1,31000
5762.33,0.3302,7,0.3846,30,0.7143,1,34000
5762.33,0.3302,7,0.3846,29,0.5714,1,28000
5762.33,0.3302,7,0.3846,29,0.5714,0,30000
5762.33,0.3302,7,0.3846,30,0.7143,1,34000
5762.33,0.3302,7,0.3846,25,0.0000,1,26000
5762.33,0.3302,7,0.3846,28,0.4286,1,28000
5762.33,0.3302,7,0.3846,30,0.7143,1,37000
5762.33,0.3302,7,0.3846,31,0.8571,1,39000
5762.33,0.3302,7,0.3846,31,0.8571,1,40000
5762.33,0.3302,7,0.3846,30,0.7143,0,39000
5762.33,0.3302,7,0.3846,30,0.7143,0,38000
5762.33,0.3302,7,0.3846,29,0.5714,1,38000
5762.33,0.3302,7,0.3846,29,0.5714,1,37000
5762.33,0.3302,7,0.3846,29,0.5714,1,33511
5762.33,0.3302,7,0.3846,29,0.5714,1,35000
5762.33,0.3302,7,0.3846,27,0.2857,1,29000
5762.33,0.3302,7,0.3846,26,0.1429,1,27000
5762.33,0.3302,7,0.3846,28,0.4286,1,30000
5762.33,0.3302,7,0.3846,30,0.7143,1,36000
5762.33,0.3302,7,0.3846,30,0.7143,1,34000
5762.33,0.3302,7,0.3846,31,0.8571,1,39000
5762.33,0.3302,7,0.3846,30,0.7143,0,34000
5762.33,0.3302,7,0.3846,30,0.7143,0,38000
5762.33,0.3302,7,0.3846,30,0.7143,1,33000
5762.33,0.3302,7,0.3846,29,0.5714,1,32000
5762.33,0.3302,7,0.3846,29,0.5714,1,33000
5762.33,0.3302,7,0.3846,29,0.5714,1,33000
5762.33,0.3302,7,0.3846,28,0.4286,1,31000
5762.33,0.3302,7,0.3846,27,0.2857,1,29000
5762.33,0.3302,7,0.3846,28,0.4286,1,29000
5762.33,0.3302,7,0.3846,31,0.8571,1,31000
5762.33,0.3302,7,0.3846,32,1.0000,1,29000
5762.33,0.3302,7,0.3846,32,1.0000,1,32000
5762.33,0.3302,7,0.3846,29,0.5714,0,34000
5762.33,0.3302,7,0.3846,29,0.5714,0,29000
5762.33,0.3302,7,0.3846,30,0.7143,1,31000
5762.33,0.3302,7,0.3846,29,0.5714,1,28000
5762.33,0.3302,7,0.3846,30,0.7143,1,29000
5762.33,0.3302,7,0.3846,31,0.8571,1,25300
5762.33,0.3302,7,0.3846,30,0.7143,1,26700
5762.33,0.3302,7,0.3846,29,0.5714,0,26000
5762.33,0.3302,7,0.3846,29,0.5714,1,26000
5762.33,0.3302,7,0.3846,29,0.5714,1,28000
2506.04,0.0000,4,0.1538,29,0.5714,1,38000
2506.04,0.0000,4,0.1538,29,0.5714,1,34000
2506.04,0.0000,4,0.1538,29,0.5714,1,36000
2506.04,0.0000,4,0.1538,28,0.4286,1,36000
2506.04,0.0000,4,0.1538,27,0.2857,1,33000
2506.04,0.0000,4,0.1538,28,0.4286,1,32000
2506.04,0.0000,4,0.1538,31,0.8571,1,43000
